# Time-averaged data for fix 4
# TimeStep v_sigma_xx v_sigma_yy v_sigma_zz v_f_tether
457000 0.0429589 -0.0429589 -0.028631 -51.4225
458000 0.00907096 -0.00907096 0.0330635 59.3835
459000 0.00171253 -0.00171253 0.0663479 119.164
460000 0.00702653 -0.00702653 -0.0175208 -31.4681
461000 0.0329151 -0.0329151 0.00408465 7.33621
462000 -0.0536611 0.0536611 -0.0470573 -84.517
463000 -0.00653258 0.00653258 -0.0132088 -23.7236
464000 0.00781198 -0.00781198 -0.0485973 -87.2829
465000 -0.0118343 0.0118343 0.0861798 154.783
466000 0.0270102 -0.0270102 0.0287952 51.7175
467000 -0.022599 0.022599 0.0329982 59.2662
468000 0.0398934 -0.0398934 0.00157974 2.83727
469000 0.0111062 -0.0111062 0.0452712 81.309
470000 -0.00274577 0.00274577 0.0413141 74.2018
471000 -0.0118551 0.0118551 -0.0374422 -67.2478
472000 0.00446596 -0.00446596 0.0573163 102.942
473000 0.00393792 -0.00393792 -0.00359603 -6.45862
474000 0.0199779 -0.0199779 0.0194334 34.9032
475000 -0.0109298 0.0109298 -0.0149013 -26.7634
476000 0.0633474 -0.0633474 0.0432874 77.7461
477000 0.00490618 -0.00490618 -0.0980337 -176.073
478000 -0.0357502 0.0357502 0.0467604 83.9836
479000 -0.0093034 0.0093034 -0.0187898 -33.7472
480000 -0.00671916 0.00671916 0.030603 54.9643
481000 0.00636804 -0.00636804 -0.00190055 -3.41347
482000 0.042968 -0.042968 0.00898122 16.1307
483000 -0.0277196 0.0277196 0.015151 27.2119
484000 0.027257 -0.027257 0.0580766 104.308
485000 0.00340778 -0.00340778 -0.0368404 -66.1669
486000 0.0162962 -0.0162962 0.0677099 121.61
487000 -0.00765067 0.00765067 0.0648822 116.531
488000 -0.0353007 0.0353007 0.0339665 61.0053
489000 0.0144999 -0.0144999 0.0168597 30.2808
490000 0.020377 -0.020377 -0.000351338 -0.631018
491000 -0.0226131 0.0226131 0.00909712 16.3388
492000 0.0132346 -0.0132346 0.0612264 109.965
493000 -0.0488311 0.0488311 -0.0522107 -93.7727
494000 -0.0294667 0.0294667 -0.0175161 -31.4597
495000 -0.0212154 0.0212154 -0.00210775 -3.7856
496000 0.00268497 -0.00268497 0.00443384 7.96337
497000 -0.00375119 0.00375119 -0.0688894 -123.728
498000 -0.00677796 0.00677796 -0.0101748 -18.2744
499000 0.0226988 -0.0226988 0.0467457 83.9573
500000 0.0121936 -0.0121936 0.0585009 105.07
501000 0.0269856 -0.0269856 -0.00904124 -16.2385
502000 0.00306332 -0.00306332 0.0735743 132.143
503000 0.0094251 -0.0094251 0.0120235 21.5947
504000 0.00693449 -0.00693449 -0.0310272 -55.7261
505000 0.00571298 -0.00571298 -0.0313847 -56.3683
506000 0.0279465 -0.0279465 -0.0133973 -24.0622
507000 -0.00840683 0.00840683 -0.0224407 -40.3044
508000 -0.0114304 0.0114304 0.0748674 134.465
509000 -0.0365554 0.0365554 0.014624 26.2654
510000 0.00363212 -0.00363212 0.0582018 104.533
511000 -0.0188518 0.0188518 -0.0170626 -30.6452
512000 -0.00156886 0.00156886 0.0181467 32.5922
513000 0.0123142 -0.0123142 -0.00716331 -12.8656
514000 0.00120548 -0.00120548 0.0718154 128.983
515000 0.0133385 -0.0133385 0.00759976 13.6495
516000 -0.0123899 0.0123899 0.0200107 35.9401
517000 0.00425012 -0.00425012 0.029551 53.0748
518000 0.0108029 -0.0108029 0.0203995 36.6384
519000 -0.00216301 0.00216301 0.000292975 0.526195
520000 -0.00722622 0.00722622 -0.0461479 -82.8837
521000 0.000393293 -0.000393293 0.0723783 129.995
522000 -0.00363084 0.00363084 0.00366888 6.58946
523000 0.0265686 -0.0265686 0.0165567 29.7366
524000 -0.0209557 0.0209557 0.0633238 113.732
525000 -0.0234149 0.0234149 0.099299 178.345
526000 0.0313306 -0.0313306 -0.00891337 -16.0088
527000 0.00644198 -0.00644198 -0.0222145 -39.8981
528000 0.00616773 -0.00616773 -0.101951 -183.108
529000 0.023054 -0.023054 0.0181595 32.6153
530000 0.0254632 -0.0254632 0.081049 145.568
531000 0.00123821 -0.00123821 0.0924695 166.079
532000 0.00556751 -0.00556751 -0.0175171 -31.4615
533000 -0.0102384 0.0102384 -0.0113545 -20.3931
534000 0.00526414 -0.00526414 0.0102256 18.3656
535000 0.000271075 -0.000271075 0.0148427 26.6581
536000 -0.00278151 0.00278151 -0.0350948 -63.0318
537000 -0.0176696 0.0176696 0.0689986 123.925
538000 0.0223086 -0.0223086 0.0413217 74.2156
539000 -0.0181107 0.0181107 0.0143039 25.6905
540000 -0.0360212 0.0360212 -0.0092714 -16.6518
541000 -0.020157 0.020157 -0.0331749 -59.5836
542000 -0.0132064 0.0132064 0.0169735 30.4851
543000 0.00572254 -0.00572254 0.0126861 22.7848
544000 -0.00523338 0.00523338 -0.0155578 -27.9425
545000 0.0221443 -0.0221443 0.0233162 41.8769
546000 0.00985954 -0.00985954 0.0026446 4.74981
547000 0.00992115 -0.00992115 -0.0102997 -18.4988
548000 0.00706605 -0.00706605 -0.033116 -59.4778
549000 0.00638299 -0.00638299 -0.056893 -102.182
550000 -0.0434943 0.0434943 0.107203 192.541
551000 0.0499319 -0.0499319 -0.0307612 -55.2484
552000 -0.0413986 0.0413986 -0.0276235 -49.613
553000 -0.0198326 0.0198326 0.0115257 20.7006
554000 0.0115495 -0.0115495 -0.0143924 -25.8494
555000 -0.038802 0.038802 -0.00491082 -8.82004
556000 -0.0212724 0.0212724 -0.0159241 -28.6003
557000 -0.00398219 0.00398219 0.0439445 78.9262
558000 0.0411788 -0.0411788 0.0099551 17.8798
